Ano Letivo;RA;Fase;Turma;Nome;Idade;Gênero;Ano ingresso;Instituição de ensino;Pedra;INDE;Nº Av;IAA;IEG;IPS;IDA;IPV;IAN;IPP;Mat;Por;Ing;Fase Ideal;Defasagem;Destaque IEG;Destaque IDA;Destaque IPV;Atingiu PV;REC AV
2023;RA-1104;2;2G;Aluno-1104;13;Feminino;2023;Pública;Ametista;7,3;3;5,7;10;2,5;6,4;9,1;5;8,5;5,5;7,3;6,4;Fase 3 ;-1;Boa entrega;Empenhar mais;Boa integração;Sim;Promovido fase
2024;RA-909;0;ALFA J - G2/G3;Aluno-909;11;Feminino;2023;Pública;Ametista;7,7;2;10;8,2;7,5;8,2;7,5;5;6,9;10;6,5;8,1;Fase 2 ;-2;Boa entrega;Boas notas;Boa integração;Não;Promovido fase
2023;RA-926;0;ALFA J - G2/G3;Aluno-926;9;Feminino;2023;Pública;Ametista;7,8;2;9;10;3,8;6,8;9,5;5;7,5;6,5;7;6,9;Fase 1 ;-1;Boa entrega;Empenhar mais;Boa integração;Sim;Promovido fase
2023;RA-1103;2;2F;Aluno-1103;10;Masculino;2023;Pública;Ametista;7,6;3;9;8,7;5;5;8;10;8,3;4,5;5,5;5;Fase 2 ;0;Boa entrega;Empenhar mais;Boa integração;Não;Promovido fase
2023;RA-1102;2;2F;Aluno-1102;12;Masculino;2023;Pública;Topázio;8,1;3;9,5;9,5;5;7,5;7,6;10;7,7;5,7;9,2;7,6;Fase 2 ;0;Boa entrega;Boas notas;Boa integração;Não;Promovido fase
2023;RA-1101;2;2F;Aluno-1101;12;Masculino;2023;Pública;Agata;6,4;3;0;7,2;5;5,3;8,1;10;8,3;4,2;6,3;5,4;Fase 2 ;0;Melhorar entrega;Empenhar mais;Boa integração;Não;Manter atual com bolsa
2023;RA-1100;2;2F;Aluno-1100;12;Masculino;2023;Pública;Topázio;8,3;3;10;9,2;5;7,1;8,3;10;8,5;6,3;7,8;7,2;Fase 2 ;0;Boa entrega;Empenhar mais;Boa integração;Não;Promovido com bolsa
2024;RA-931;0;ALFA K - G0/G1;Aluno-931;9;Masculino;2023;Pública;Ametista;7,1;2;7,9;8,6;2,5;8,5;6,8;5;7,5;8;9;8,5;Fase 1 ;-1;Boa entrega;Boas notas;Integra-se mais;Não;Promovido fase
2023;RA-1099;2;2F;Aluno-1099;13;Feminino;2023;Pública;Ametista;7,1;3;9;9,6;2,5;5,2;8,3;5;8,3;5,7;4,7;5,2;Fase 3 ;-1;Boa entrega;Empenhar mais;Boa integração;Não;Promovido fase
2023;RA-927;0;ALFA J - G2/G3;Aluno-927;12;Feminino;2023;Pública;Ametista;7,6;2;9;9,7;3,8;6,4;9,3;5;7,5;7;5,8;6,4;Fase 1 ;-1;Boa entrega;Empenhar mais;Boa integração;Sim;Promovido fase
